Product_name,Price,PricePer100g,Weight,Text
ClarkysKesselChips,0.89,0.59,150,"Clarkys. Enjoy the taste! Kessel Chips. Salt & vinegar. Ohne Geschmacksverstärker. Dicke Scheiben - extra knusprig. Clarkys. Enjoy the taste. Kessel chips. Salt & Vinegar. Das Außergewöhnliche der Clarky's Kesselchips ist ihr krosser Biss. Dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang geröstet und mit einer raffinierten Würzung abgerundet. Kartoffelchips in Schale geröstet mit Salz und Essig-Geschmack. Ohne Hefeextrakt."
CrustiCroc,0.89,0.45,200,"Crusti Croc Salz. Kartoffeln aus Deutschland. Verwendet werden ausschließlich erlesene Kartoffeln, die einer ständigen Qualifikationskontrolle unterliegen. Die feinen Kartoffelscheiben werden in hochwertigen High-Oleic-Sonnenblumenöl ausgebacken, das von Natur aus einen hohen Anteil an ungesättigten Fettsäuren hat. Kartoffelchips mit Speisesalz."
FeurichGourmet,0.79,0.63,125,"Feurich. Gourmet Kartoffelchips. Meersalz & Pfeffer. Für dieses Gourmet-Produkt verwenden wir nur erstklassige Zutaten und achten auf feinste Zubereitung. Reines Sonnenblumenöl. Mit Schale gebacken. Feurich. Gourmet Kartoffelchips. Meersalz & Pfeffer. Mit Schale in reinem Sonnenblumenöl. Ausgewählte Kartoffeln aus kontrolliertem Anbau. Feinste Würzmischung. Kartoffelchips mit Schale frittiert Meersalz & Pfeffer."
Trafo,1.79,1.43,125,"Trafo. Bio-organic snacks. Bio organic potato chips natural. Natürlich lecker. Unsere Bio Kartoffel Chips werden in unserem Familienbetrieb nach alter Tradition gebacken. Wir verwenden nur die besten Kartoffelsorten, die in fruchtbaren Boden biologisch angebaut werden. Dabei bevorzugen wir regionale Kartoffeln aus den Niederlanden oder Deutschland. Wir verwenden zu 100% ungehärtetes biologisches Sonnenblumenöl. Trafo. Bio-organic snacks. Kartoffelchips. Aus kontrolliert biologischem Anbau. This product is gluten free."
HandCookedChips,2.29,1.82,125,"Thick cut. Bio-organic hand cooked chips. Seasalt. Slow and longer fried than regular chips. Low temperature, fried at max 165 degrees. More bite and taste. Handgefertigte Chips gesalzen."
DeRit,2.49,1.99,125,"Aus besten Anbaugebieten. 1969. De Rit organics. Kartoffelchips schonend mit Schale gebacken. Meersalz. Für unsere knusprigen Kartoffelchips verwenden wir feinste Kartoffelsorten aus kontrolliert biologischem Anbau. In hochwertigem kaltgepressten High Oleic Sonnenblumenöl (von Natur aus reich an einfach ungesättigten Fettsäuren) werden die Chips schonend in der Schale gebacken. Verfeinert mit einer Prise Meersalz ein knuspriger Knabbergenuss. Aus kontrolliert biologischem Anbau. Kartoffelchips mit Meersalz. 1969. De Rit organics."
FeurichChips,0.69,0.35,200,"Feurich. Chips Paprika Geschmack. Kartoffelchips mit Paprika-Geschmack. Feurich. Chips Paprika Geschmack."
Tyrrells,2.29,1.53,150,"Tyrrell's. hand-cooked English crisps. sea salt and black pepper. Best ever recipe. Est Herefordshire, England. Tyrrell's. hand-cooked English crisps. sea salt and cracked black pepper. A time-honoured marriage: sea salt and that most cracking of spices. They're made with the finest local potatoes, complete with jackets, hand-cooked in small batches and spun to achieve our signature crunch. Kartoffelchips gewürzt mit Meersalz und grob gemahlenem schwarzen Pfeffer. Gluten free. Suitable for vegans. No artificial ingredients. England Rugby Official Crisp."
JA,0.69,0.35,200,"ja! Kartoffelchips mit Paprika-Geschmack. Kartoffel-Chips mit Paprikageschmack."
Chio,1.99,1,200,"Chio. Red Paprika Chips. Mit reinem Sonnenblumenöl. Ausgewählte Gewürze. Chio. Das Chio-Qualitätsversprechen für Premium Genuss - beste Zutaten. Ohne geschmacksverstärkende Zusatzstoffe. Ohne künstliche Farbstoffe. Beste Kartoffeln aus kontrolliertem Anbau. Reines Sonnenblumenöl. Unvergleichliche Gewürzrezepturen. Für den einzigartigen Chio Geschmack. Für Vegetarier geeignet. Glutenfrei. Kartoffelchips mit Paprika-Geschmack."
WorldOfChips,0.79,0.64,125,"World of Chips. Meersalz und Pfeffer Potato Crisps. Knusprige Kartoffelchips mit Meersalz & Pfeffer."
Classic,0.89,0.6,150,"Classic. Kesselchips. Mit Schale gebacken. Kross und knusprig. Im Kessel gebacken. Salt & Vinegar. Mit Sonnenblumenöl. Classic. Kesselchips. Kartoffelchips mit Schale gebacken, mit Salz- und Essiggeschmack. Unsere Zufriedenheitsgarantie. K-Classic ist Qualität - garantiert. Das Geheimnis unserer knusprigen K-Classic Kesselchips liegt in ihrem Herstellungsverfahren. Für unsere Chips werden ausgesuchte Kartoffeln verwendet und inklusive Schale besonders dick geschnitten. Im Kessel backen sie ausschließlich in Sonnenblumenöl und werden noch von Hand gerührt. Der unvergleichliche Geschmack der K-Classic Kesselchips kommt durch ihre feine Würzung. K-Classic Kesselchips - ein besonderer Genuss. Mit wertvollem Sonnenblumenöl. K-Classic legt bei seinen Produkten Wert auf ausgesuchte Zutaten, die regelmäßig kontrolliert werden. Für die Herstellung der K-Classic Kesselchips wird Sonnenblumenöl eingesetzt. Dieses ist von Natur aus reich an ungesättigten Fettsäuren."
Lisas,1.99,1.81,110,"Lisa's Bio Kesselchips. Rosmarin & Meersalz. Craft chips. Lisa's Bio Kesselchips. Handgekochte Chips mit Charakter. Wir kochen unsere Chips im Kessel und verwenden dafür nur die besten Zutaten. Bio. Glutenfrei. Vegan. Rohstoffe aus kontrolliert biologischem Anbau. Hergestellt in Deutschland. Bio-Kartoffelchips mit Rosmarin und Meersalz. Gekocht von David. In Kessel Nr 4."
GutUndGünstigChips,0.69,0.35,200,"Gut & Günstig. Chips Paprika. Mit Sonnenblumenöl. Goldener Preis 2017. DLG. Gut & Günstig. Chips Paprika. Kartoffelchips mit Paprikageschmack."
GutUndGünstigKessel,0.89,0.59,150,"Gut & Günstig. Kessel Chips. Knusprig im Kessel frittiert. Sea salt & vinegar. Extra dicke Scheiben. Goldener Preis 2017. DLG. Gut & Günstig. Kessel Chips. Sea salt & vinegar. Das Außergewöhnliche der Gut & Günstig Kesselchips ist ihr besonders krosser Biss, der Chipsfans begeistert. Dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang frittiert, bis sie wunderbar knusprig sind. Zusammen mit der raffinierten Würzung entsteht so ein intensives und sehr knuspriges Geschmackserlebnis. Ohne Hefeextrakt. Kartoffelchips in Schale geröstet mit Meersalz und Essig-Geschmack. Im Kessel frittiert. Extra knusprig durch dicke Scheiben."
